time,u_method_1,u_method_2,u_method_3,y_method_1,y_method_2,y_method_3
222,0.24999999329296715,0.25000000052793536,0.24999999999999026,0.24999999329311953,0.2500000005280897,0.25000000000014394
223,0.2499999932929701,0.2500000005279382,0.2499999999999932,0.24999999329310668,0.25000000052807686,0.2500000000001311
224,0.24999999329297284,0.250000000527941,0.249999999999996,0.24999999329308664,0.2500000005280568,0.2500000000001111
225,0.24999999329297565,0.2500000005279435,0.2499999999999985,0.24999999329306258,0.2500000005280328,0.25000000000008704
226,0.24999999329297737,0.2500000005279457,0.2500000000000005,0.2499999932930373,0.2500000005280075,0.2500000000000618
227,0.24999999329297898,0.25000000052794713,0.25000000000000205,0.24999999329301303,0.25000000052798327,0.2500000000000375
228,0.2499999932929799,0.25000000052794813,0.25000000000000305,0.2499999932929914,0.2500000005279617,0.25000000000001593
229,0.2499999932929806,0.2500000005279487,0.2500000000000036,0.2499999932929735,0.2500000005279438,0.24999999999999803
230,0.24999999329298064,0.2500000005279489,0.2500000000000037,0.24999999329295985,0.25000000052793014,0.24999999999998437
231,0.24999999329298056,0.2500000005279485,0.25000000000000355,0.24999999329295056,0.2500000005279208,0.24999999999997505
232,0.24999999329298012,0.25000000052794813,0.25000000000000316,0.2499999932929453,0.25000000052791554,0.24999999999996977
233,0.24999999329297956,0.2500000005279476,0.2500000000000026,0.2499999932929436,0.2500000005279138,0.24999999999996805
234,0.24999999329297898,0.25000000052794696,0.25000000000000194,0.24999999329294473,0.25000000052791493,0.2499999999999692
235,0.24999999329297817,0.25000000052794635,0.25000000000000133,0.249999993292948,0.25000000052791815,0.24999999999997244
236,0.24999999329297778,0.25000000052794574,0.2500000000000007,0.24999999329295264,0.25000000052792276,0.24999999999997707
237,0.24999999329297729,0.2500000005279452,0.2500000000000002,0.249999993292958,0.2500000005279281,0.24999999999998243
238,0.24999999329297656,0.2500000005279448,0.24999999999999978,0.2499999932929635,0.2500000005279336,0.2499999999999879
239,0.24999999329297626,0.2500000005279445,0.2499999999999995,0.24999999329296865,0.25000000052793875,0.24999999999999306
240,0.24999999329297612,0.2500000005279443,0.2499999999999993,0.24999999329297318,0.25000000052794324,0.24999999999999759
241,0.24999999329297626,0.2500000005279442,0.2499999999999992,0.24999999329297684,0.2500000005279469,0.2500000000000013
242,0.2499999932929761,0.2500000005279442,0.2499999999999992,0.24999999329297956,0.25000000052794963,0.250000000000004
243,0.24999999329297615,0.2500000005279443,0.24999999999999922,0.24999999329298137,0.25000000052795146,0.2500000000000058
244,0.24999999329297645,0.25000000052794447,0.24999999999999933,0.2499999932929823,0.2500000005279524,0.2500000000000067
245,0.24999999329297667,0.2500000005279446,0.24999999999999947,0.2499999932929825,0.2500000005279526,0.25000000000000694
